display_role_id,display_role_name,job_family_id,market_frequency,is_active,mapping_source,review_status,created_at,updated_at,saramin_category,saramin_job_code,saramin_max_count,is_searchable
DR_00001,경영기획자,JF_STR_01,high,True,v10_saramin_based,confirmed,2026-03-16T23:15:25,2026-03-16T23:15:25,,,,
DR_00002,사업기획자,JF_STR_01,high,True,v10_saramin_based,confirmed,2026-03-16T23:15:25,2026-03-16T23:15:25,,,,
DR_00003,전략기획담당,JF_STR_01,medium,True,v10_saramin_based,confirmed,2026-03-16T23:15:25,2026-03-16T23:15:25,,,,
DR_00004,경영기획팀장,JF_STR_01,medium,True,v10_saramin_based,confirmed,2026-03-16T23:15:25,2026-03-16T23:15:25,,,,
DR_00005,사업개발담당,JF_STR_01,low,True,v10_saramin_based,confirmed,2026-03-16T23:15:25,2026-03-16T23:15:25,,,,
DR_00006,신사업기획자,JF_STR_01,low,True,v10_saramin_based,confirmed,2026-03-16T23:15:25,2026-03-16T23:15:25,,,,
DR_00007,BM분석가,JF_STR_01,low,True,v10_saramin_based,confirmed,2026-03-16T23:15:25,2026-03-16T23:15:25,,,,
DR_00008,경영컨설턴트,JF_STR_02,high,True,v10_saramin_based,confirmed,2026-03-16T23:15:25,2026-03-16T23:15:25,,,,
DR_00009,전략컨설턴트,JF_STR_02,high,True,v10_saramin_based,confirmed,2026-03-16T23:15:25,2026-03-16T23:15:25,,,,
DR_00010,비즈니스어드바이저,JF_STR_02,medium,True,v10_saramin_based,confirmed,2026-03-16T23:15:25,2026-03-16T23:15:25,,,,
DR_00011,경영자문위원,JF_STR_02,medium,True,v10_saramin_based,confirmed,2026-03-16T23:15:25,2026-03-16T23:15:25,,,,
DR_00012,기업진단전문가,JF_STR_02,low,True,v10_saramin_based,confirmed,2026-03-16T23:15:25,2026-03-16T23:15:25,,,,
DR_00013,프로젝트매니저,JF_STR_03,high,True,v10_saramin_based,confirmed,2026-03-16T23:15:25,2026-03-16T23:15:25,,,,
